pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
HD 156668,b,HD 156668 b,Radial Velocity,0,1,4.6455,0.0011,-0.0011,0,2,0.05,0.0007,-0.0007,0,1,0.0,,,0,2.0,,,,0.0,0.0,0.013,0.002,-0.002,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,17h17m40.49s,+29d13m38.0s,259.418701,2e-06,29.227226,3e-06,3.0,24.35,0.02,-0.02,0.0,3,8.42,0.02,0.0,V (Johnson),8.108,,0.0,4850.0,88.0,-88.0,0.0,3.0,0.77,0.02,-0.02,0.0,2.0,0.72,0.01,-0.01,0.0,3,1,2019-01-31,W. M. Keck Observatory,
HD 156846,b,HD 156846 b,Radial Velocity,0,1,359.51001,0.09,-0.09,0,3,1.12,0.02,-0.02,0,3,0.85,0.0,0.0,0,3.0,,,,0.0,0.0,10.67,0.74,-0.74,0,3,Msini,,,,0.0,0.0,,,,0.0,0,0,0,17h20m34.31s,-19d20m01.5s,260.142944,2e-06,-19.333746,1e-06,3.0,47.8,0.12,-0.12,0.0,3,6.506,,0.0,V (Johnson),6.358,,0.0,6090.0,31.0,-31.0,0.0,5.0,1.38,0.14,-0.14,0.0,4.0,1.9,0.04,-0.04,0.0,4,0,2018-09-06,La Silla Observatory,
HD 158038,b,HD 158038 b,Radial Velocity,0,1,521.0,6.9,-6.9,0,2,1.5,0.04,-0.04,0,2,0.29,0.09,-0.09,0,2.0,,,,0.0,0.0,1.53,0.47,-0.47,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,17h25m45.43s,+27d18m12.0s,261.439301,1e-06,27.303341,2e-06,2.0,95.12,0.23,-0.23,0.0,2,7.64,,0.0,V (Johnson),7.207,,0.0,4860.0,38.0,-38.0,0.0,5.0,1.3,0.56,-0.56,0.0,4.0,4.5,0.16,-0.16,0.0,5,0,2018-09-06,W. M. Keck Observatory,
HD 159243,b,HD 159243 b,Radial Velocity,0,2,12.62,0.004,-0.004,0,1,0.11,0.002,-0.002,0,1,0.02,0.018,-0.018,0,1.0,,,,,0.0,1.13,0.05,-0.05,0,1,Msini,,,,,0.0,,,,,0,0,0,0,17h33m21.55s,+05d42m02.6s,263.339783,3e-06,5.700733,2e-06,2.0,73.46,0.23,-0.23,0,3.0,8.646,0.014,0,V (Johnson),8.512,,0.0,6123.0,65.0,-65.0,0.0,2.0,1.12,0.03,-0.03,0.0,1.0,1.12,0.05,-0.05,0,2,0,2014-05-14,Haute-Provence Observatory
HD 159243,c,HD 159243 c,Radial Velocity,0,2,248.4,4.9,-4.9,0,1,0.8,0.02,-0.02,0,1,0.075,0.05,-0.05,0,1.0,,,,,0.0,1.9,0.13,-0.13,0,1,Msini,,,,,0.0,,,,,0,0,0,0,17h33m21.55s,+05d42m02.6s,263.339783,3e-06,5.700733,2e-06,2.0,73.46,0.23,-0.23,0,3.0,8.646,0.014,0,V (Johnson),8.512,,0.0,6123.0,65.0,-65.0,0.0,2.0,1.12,0.03,-0.03,0.0,1.0,1.12,0.05,-0.05,0,2,0,2014-05-14,Haute-Provence Observatory
HD 159868,b,HD 159868 b,Radial Velocity,0,2,1184.1,7.1,-7.1,0,4,2.32,0.14,-0.14,0,4,0.024,0.019,-0.019,0,4.0,,,,0.0,0.0,2.218,0.059,-0.059,0,4,Msini,,,,,0.0,,,,0.0,0,0,0,17h38m59.52s,-43d08m43.9s,264.748016,4e-06,-43.145515,3e-06,2.0,55.94,0.17,-0.17,0.0,3,7.24,,0.0,V (Johnson),7.046,,0.0,5534.0,,,0.0,7.0,1.19,,,0.0,6.0,2.13,,,0.0,4,0,2018-12-06,Anglo-Australian Telescope,
HD 159868,c,HD 159868 c,Radial Velocity,0,2,351.0,1.1,-1.1,0,2,1.032,0.064,-0.064,0,2,0.184,0.037,-0.037,0,2.0,,,,0.0,0.0,0.768,0.044,-0.044,0,2,Msini,,,,,0.0,,,,0.0,0,0,0,17h38m59.52s,-43d08m43.9s,264.748016,4e-06,-43.145515,3e-06,2.0,55.94,0.17,-0.17,0.0,3,7.24,,0.0,V (Johnson),7.046,,0.0,5534.0,,,0.0,7.0,1.19,,,0.0,6.0,2.13,,,0.0,4,0,2018-12-06,Anglo-Australian Telescope,
HD 160691,b,HD 160691 b,Radial Velocity,0,4,643.25,0.9,-0.9,0,5,1.497,,,0,5,0.128,0.017,-0.017,0,5.0,,,,0.0,0.0,1.676,,,0,5,Msini,,,,0.0,0.0,,,,0.0,0,0,0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0.0,5,5.15,,0.0,V (Johnson),4.905,,0.0,,,,9.0,1.08,,,0.0,11.0,,,,4.0,0.0,2019-03-28,Anglo-Australian Telescope,,,
HD 160691,c,HD 160691 c,Radial Velocity,0,4,4205.8,758.9,-758.9,0,3,5.235,,,0,3,0.0985,0.0627,-0.0627,0,3.0,,,,,0.0,1.814,,,0,3,Msini,,,,,0.0,,,,,0,0,0,0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0,5.0,5.15,,0,V (Johnson),4.905,,0.0,,,,9.0,1.08,,,0.0,11.0,,,,4.0,1,2014-08-21,Anglo-Australian Telescope,,
HD 160691,d,HD 160691 d,Radial Velocity,0,4,9.6386,0.0015,-0.0015,0,3,0.09094,,,0,3,0.172,0.04,-0.04,0,3.0,,,,,0.0,0.03321,,,0,3,Msini,,,,,0.0,,,,,0,0,0,0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0,5.0,5.15,,0,V (Johnson),4.905,,0.0,,,,9.0,1.08,,,0.0,11.0,,,,4.0,1,2014-08-21,La Silla Observatory,,
HD 160691,e,HD 160691 e,Radial Velocity,0,4,310.55,0.83,-0.83,0,2,0.921,,,0,2,0.0666,0.0122,-0.0122,0,2.0,,,,,0.0,0.5219,,,0,2,Msini,,,,,0.0,,,,,0,0,0,0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0,5.0,5.15,,0,V (Johnson),4.905,,0.0,,,,9.0,1.08,,,0.0,11.0,,,,4.0,1,2014-08-21,La Silla Observatory,,
HD 162020,b,HD 162020 b,Radial Velocity,0,1,8.4282,5.6e-05,-5.6e-05,0,2,0.08,0.0,0.0,0,2,0.28,0.0,0.0,0,2.0,,,,0.0,0.0,9.84,2.75,-2.75,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,17h50m38.36s,-40d19m06.1s,267.659821,6e-06,-40.318348,3e-06,3.0,30.85,0.07,-0.07,0.0,3,9.1,,0.0,V (Johnson),8.759,,0.0,4723.0,71.0,-71.0,0.0,8.0,0.42,0.18,-0.18,0.0,6.0,0.75,0.03,-0.03,0.0,4,0,2018-09-06,La Silla Observatory,
Kepler-56,c,Kepler-56 c,Transit,0,3,21.40239,0.00059,-0.00062,0,6,0.1652,0.0059,-0.0059,0,1,,,,1,,,,,0.0,0.57,0.066,-0.06,0.0,4,Mass,0.874,0.041,-0.041,0.0,6.0,1.06,0.14,-0.13,0.0,2.0,1,1,0,19h35m02.00s,+41d52m18.7s,293.758347,2.2e-05,41.871869,1.7e-05,2.0,936.96,24.59,-24.59,0.0,3,12.44,,0.0,Kepler-band,,,,,,,,,,,,,,,,,,,,,,
